"","sciname","genus","species","family","order"
"343","Sakesphorus luctuosus","Sakesphorus","luctuosus","Formicariidae","Passeriformes"
"344","Myrmeciza atrothorax","Myrmeciza","atrothorax","Formicariidae","Passeriformes"
"345","Myrmeciza exsul","Myrmeciza","exsul","Formicariidae","Passeriformes"
"346","Myrmeciza ferruginea","Myrmeciza","ferruginea","Formicariidae","Passeriformes"
"347","Myrmeciza hemimelaena","Myrmeciza","hemimelaena","Formicariidae","Passeriformes"
"348","Myrmeciza immaculata","Myrmeciza","immaculata","Formicariidae","Passeriformes"
"349","Myrmeciza longipes","Myrmeciza","longipes","Formicariidae","Passeriformes"
"350","Myrmeciza ruficauda","Myrmeciza","ruficauda","Formicariidae","Passeriformes"
"351","Myrmotherula axillaris","Myrmotherula","axillaris","Formicariidae","Passeriformes"
"352","Myrmotherula brachyura","Myrmotherula","brachyura","Formicariidae","Passeriformes"
"353","Myrmotherula fulviventris","Myrmotherula","fulviventris","Formicariidae","Passeriformes"
"354","Myrmotherula hauxwelli","Myrmotherula","hauxwelli","Formicariidae","Passeriformes"
"355","Myrmotherula leucophthalma","Myrmotherula","leucophthalma","Formicariidae","Passeriformes"
"356","Myrmotherula longipennis","Myrmotherula","longipennis","Formicariidae","Passeriformes"
"357","Myrmotherula menetriesii","Myrmotherula","menetriesii","Formicariidae","Passeriformes"
"358","Myrmotherula ornata","Myrmotherula","ornata","Formicariidae","Passeriformes"
"359","Myrmotherula schisticolor","Myrmotherula","schisticolor","Formicariidae","Passeriformes"
"360","Myrmotherula surinamensis","Myrmotherula","surinamensis","Formicariidae","Passeriformes"
"361","Thamnistes anabatinus","Thamnistes","anabatinus","Formicariidae","Passeriformes"
"362","Thamnomanes ardesiacus","Thamnomanes","ardesiacus","Formicariidae","Passeriformes"
"363","Thamnomanes caesius","Thamnomanes","caesius","Formicariidae","Passeriformes"
"364","Thamnomanes plumbeus","Thamnomanes","plumbeus","Formicariidae","Passeriformes"
"365","Thamnomanes saturninus","Thamnomanes","saturninus","Formicariidae","Passeriformes"
"366","Thamnophilus aethiops","Thamnophilus","aethiops","Formicariidae","Passeriformes"
"367","Thamnophilus amazonicus","Thamnophilus","amazonicus","Formicariidae","Passeriformes"
"368","Thamnophilus caerulescens","Thamnophilus","caerulescens","Formicariidae","Passeriformes"
"369","Thamnophilus doliatus","Thamnophilus","doliatus","Formicariidae","Passeriformes"
"370","Thamnophilus multistriatus","Thamnophilus","multistriatus","Formicariidae","Passeriformes"
"371","Thamnophilus murinus","Thamnophilus","murinus","Formicariidae","Passeriformes"
"372","Thamnophilus nigriceps","Thamnophilus","nigriceps","Formicariidae","Passeriformes"
"373","Thamnophilus palliatus","Thamnophilus","palliatus","Formicariidae","Passeriformes"
"374","Thamnophilus punctatus","Thamnophilus","punctatus","Formicariidae","Passeriformes"
"375","Thamnophilus ruficapillus","Thamnophilus","ruficapillus","Formicariidae","Passeriformes"
"376","Thamnophilus schistaceus","Thamnophilus","schistaceus","Formicariidae","Passeriformes"
"377","Thamnophilus tenuepunctatus","Thamnophilus","tenuepunctatus","Formicariidae","Passeriformes"
"378","Thamnophilus unicolor","Thamnophilus","unicolor","Formicariidae","Passeriformes"
"379","Sclateria naevia","Sclateria","naevia","Formicariidae","Passeriformes"
"380","Formicivora grisea","Formicivora","grisea","Formicariidae","Passeriformes"
"381","Formicivora melanogaster","Formicivora","melanogaster","Formicariidae","Passeriformes"
"382","Formicivora rufa","Formicivora","rufa","Formicariidae","Passeriformes"
"383","Percnostola leucostigma","Percnostola","leucostigma","Formicariidae","Passeriformes"
"384","Percnostola rufifrons","Percnostola","rufifrons","Formicariidae","Passeriformes"
"385","Microrhopias quixensis","Microrhopias","quixensis","Formicariidae","Passeriformes"
"386","Batara cinerea","Batara","cinerea","Formicariidae","Passeriformes"
"387","Coccothraustes vespertinus","Coccothraustes","vespertinus","Fringillidae","Passeriformes"
"388","Coccothraustes coccothraustes","Coccothraustes","coccothraustes","Fringillidae","Passeriformes"
"389","Quiscalus mexicanus","Quiscalus","mexicanus","Icteridae","Passeriformes"
"390","Quiscalus quiscula","Quiscalus","quiscula","Icteridae","Passeriformes"
"391","Quiscalus lugubris","Quiscalus","lugubris","Icteridae","Passeriformes"
"392","Quiscalus major","Quiscalus","major","Icteridae","Passeriformes"
"393","Psarocolius decumanus","Psarocolius","decumanus","Icteridae","Passeriformes"
"394","Psarocolius wagleri","Psarocolius","wagleri","Icteridae","Passeriformes"
"395","Psarocolius angustifrons","Psarocolius","angustifrons","Icteridae","Passeriformes"
"396","Molothrus badius","Molothrus","badius","Icteridae","Passeriformes"
"397","Molothrus aeneus","Molothrus","aeneus","Icteridae","Passeriformes"
"398","Molothrus ater","Molothrus","ater","Icteridae","Passeriformes"
"399","Aethia pusilla","Aethia","pusilla","Alcidae","Charadriiformes"
"400","Butorides virescens","Butorides","virescens","Ardeidae","Ciconiiformes"
"401","Tauraco corythaix","Tauraco","corythaix","Musophagidae","Cuculiformes"
"402","Zonotrichia capensis","Zonotrichia","capensis","Emberizidae","Passeriformes"
"403","Podargus strigoides","Podargus","strigoides","Podargidae","Caprimulgiformes"
"404","Loxia curvirostra","Loxia","curvirostra","Fringillidae","Passeriformes"
"405","Polioptila albiloris","Polioptila","albiloris","Muscicapidae","Passeriformes"
"406","Terathopius ecaudatus","Terathopius","ecaudatus","Accipitridae","Falconiformes"
"407","Buteo regalis","Buteo","regalis","Accipitridae","Falconiformes"
"408","Loxia leucoptera","Loxia","leucoptera","Fringillidae","Passeriformes"
"409","Linurgus olivaceus","Linurgus","olivaceus","Fringillidae","Passeriformes"
"410","Fringilla coelebs","Fringilla","coelebs","Fringillidae","Passeriformes"
"411","Coccothraustes personatus","Coccothraustes","personatus","Fringillidae","Passeriformes"
"412","Plectrophenax nivalis","Plectrophenax","nivalis","Emberizidae","Passeriformes"
"413","Tachyphonus luctuosus","Tachyphonus","luctuosus","Emberizidae","Passeriformes"
"414","Tachyphonus surinamus","Tachyphonus","surinamus","Emberizidae","Passeriformes"
"415","Chondestes grammacus","Chondestes","grammacus","Emberizidae","Passeriformes"
"416","Phoeniconaias minor","Phoeniconaias","minor","Phoenicopteridae","Ciconiiformes"
"417","Chlorothraupis carmioli","Chlorothraupis","carmioli","Emberizidae","Passeriformes"
"418","Chlorothraupis stolzmanni","Chlorothraupis","stolzmanni","Emberizidae","Passeriformes"
"419","Chlorospingus canigularis","Chlorospingus","canigularis","Emberizidae","Passeriformes"
"420","Chlorospingus flavigularis","Chlorospingus","flavigularis","Emberizidae","Passeriformes"
"421","Chlorospingus ophthalmicus","Chlorospingus","ophthalmicus","Emberizidae","Passeriformes"
"422","Chlorospingus pileatus","Chlorospingus","pileatus","Emberizidae","Passeriformes"
"423","Chlorospingus semifuscus","Chlorospingus","semifuscus","Emberizidae","Passeriformes"
"424","Chlorornis riefferii","Chlorornis","riefferii","Emberizidae","Passeriformes"
"425","Chlorophonia cyanea","Chlorophonia","cyanea","Emberizidae","Passeriformes"
"426","Chlorophonia occipitalis","Chlorophonia","occipitalis","Emberizidae","Passeriformes"
"427","Chlorophanes spiza","Chlorophanes","spiza","Emberizidae","Passeriformes"
"428","Certhidea olivacea","Certhidea","olivacea","Emberizidae","Passeriformes"
"429","Catamenia analis","Catamenia","analis","Emberizidae","Passeriformes"
"430","Catamenia inornata","Catamenia","inornata","Emberizidae","Passeriformes"
"431","Nectarinia reichenowi","Nectarinia","reichenowi","Nectariniidae","Passeriformes"
"432","Nectarinia rubescens","Nectarinia","rubescens","Nectariniidae","Passeriformes"
"433","Nectarinia seimundi","Nectarinia","seimundi","Nectariniidae","Passeriformes"
"434","Nectarinia senegalensis","Nectarinia","senegalensis","Nectariniidae","Passeriformes"
"435","Nectarinia sericea","Nectarinia","sericea","Nectariniidae","Passeriformes"
"436","Nectarinia sericeus","Nectarinia","sericeus","Nectariniidae","Passeriformes"
"437","Nectarinia shelleyi","Nectarinia","shelleyi","Nectariniidae","Passeriformes"
"438","Nectarinia souimanga","Nectarinia","souimanga","Nectariniidae","Passeriformes"
"439","Nectarinia sperata","Nectarinia","sperata","Nectariniidae","Passeriformes"
"440","Nectarinia superba","Nectarinia","superba","Nectariniidae","Passeriformes"
"441","Nectarinia venusta","Nectarinia","venusta","Nectariniidae","Passeriformes"
"442","Nectarinia veroxii","Nectarinia","veroxii","Nectariniidae","Passeriformes"
"443","Nectarinia verticalis","Nectarinia","verticalis","Nectariniidae","Passeriformes"
"444","Nectarinia zeylonica","Nectarinia","zeylonica","Nectariniidae","Passeriformes"
"445","Nectarinia cuprea","Nectarinia","cuprea","Nectariniidae","Passeriformes"
"446","Nectarinia famosa","Nectarinia","famosa","Nectariniidae","Passeriformes"
"447","Nectarinia johnstoni","Nectarinia","johnstoni","Nectariniidae","Passeriformes"
"448","Nectarinia kilimensis","Nectarinia","kilimensis","Nectariniidae","Passeriformes"
"449","Nectarinia tacazze","Nectarinia","tacazze","Nectariniidae","Passeriformes"
"450","Aethopyga siparaja","Aethopyga","siparaja","Nectariniidae","Passeriformes"
"451","Anthreptes collaris","Anthreptes","collaris","Nectariniidae","Passeriformes"
"452","Anthreptes fraseri","Anthreptes","fraseri","Nectariniidae","Passeriformes"
"453","Anthreptes olivacea","Anthreptes","olivacea","Nectariniidae","Passeriformes"
"454","Anthreptes platurus","Anthreptes","platurus","Nectariniidae","Passeriformes"
"455","Anthreptes longuemarei","Anthreptes","longuemarei","Nectariniidae","Passeriformes"
"456","Anthreptes malacensis","Anthreptes","malacensis","Nectariniidae","Passeriformes"
"457","Anthreptes orientalis","Anthreptes","orientalis","Nectariniidae","Passeriformes"
"458","Anthreptes rectirostris","Anthreptes","rectirostris","Nectariniidae","Passeriformes"
"459","Anthreptes reichenowi","Anthreptes","reichenowi","Nectariniidae","Passeriformes"
"460","Arachnothera longirostra","Arachnothera","longirostra","Nectariniidae","Passeriformes"
"461","Arachnothera magna","Arachnothera","magna","Nectariniidae","Passeriformes"
"462","Hypogramma hypogrammicum","Hypogramma","hypogrammicum","Nectariniidae","Passeriformes"
"463","Phyllastrephus albigularis","Phyllastrephus","albigularis","Pycnonotidae","Passeriformes"
"464","Phyllastrephus debilis","Phyllastrephus","debilis","Pycnonotidae","Passeriformes"
"465","Phyllastrephus fischeri","Phyllastrephus","fischeri","Pycnonotidae","Passeriformes"
"466","Phyllastrephus flavostriatus","Phyllastrephus","flavostriatus","Pycnonotidae","Passeriformes"
"467","Phyllastrephus icterinus","Phyllastrephus","icterinus","Pycnonotidae","Passeriformes"
"468","Phyllastrephus scandens","Phyllastrephus","scandens","Pycnonotidae","Passeriformes"
"469","Phyllastrephus terrestris","Phyllastrephus","terrestris","Pycnonotidae","Passeriformes"
"470","Phyllastrephus xavieri","Phyllastrephus","xavieri","Pycnonotidae","Passeriformes"
"471","Pycnonotus ansorgei","Pycnonotus","ansorgei","Pycnonotidae","Passeriformes"
"472","Pycnonotus curvirostris","Pycnonotus","curvirostris","Pycnonotidae","Passeriformes"
"473","Pycnonotus gracilirostris","Pycnonotus","gracilirostris","Pycnonotidae","Passeriformes"
"474","Pycnonotus gracilis","Pycnonotus","gracilis","Pycnonotidae","Passeriformes"
"475","Pycnonotus importunus","Pycnonotus","importunus","Pycnonotidae","Passeriformes"
"476","Pycnonotus latirostris","Pycnonotus","latirostris","Pycnonotidae","Passeriformes"
"477","Pycnonotus masukuensis","Pycnonotus","masukuensis","Pycnonotidae","Passeriformes"
"478","Pycnonotus milanjensis","Pycnonotus","milanjensis","Pycnonotidae","Passeriformes"
"479","Pycnonotus sp","Pycnonotus","sp","Pycnonotidae","Passeriformes"
"480","Pycnonotus tephrolaemus","Pycnonotus","tephrolaemus","Pycnonotidae","Passeriformes"
"481","Pycnonotus virens","Pycnonotus","virens","Pycnonotidae","Passeriformes"
"482","Pycnonotus cafer","Pycnonotus","cafer","Pycnonotidae","Passeriformes"
"483","Pycnonotus jocosus","Pycnonotus","jocosus","Pycnonotidae","Passeriformes"
"484","Pycnonotus barbatus","Pycnonotus","barbatus","Pycnonotidae","Passeriformes"
"485","Pycnonotus finlaysoni","Pycnonotus","finlaysoni","Pycnonotidae","Passeriformes"
"486","Pycnonotus goiavier","Pycnonotus","goiavier","Pycnonotidae","Passeriformes"
"487","Pycnonotus leucogenys","Pycnonotus","leucogenys","Pycnonotidae","Passeriformes"
"488","Pycnonotus melanicterus","Pycnonotus","melanicterus","Pycnonotidae","Passeriformes"
"489","Pycnonotus sinensis","Pycnonotus","sinensis","Pycnonotidae","Passeriformes"
"490","Pycnonotus urostictus","Pycnonotus","urostictus","Pycnonotidae","Passeriformes"
"491","Ixonotus guttatus","Ixonotus","guttatus","Pycnonotidae","Passeriformes"
"492","Criniger flaveolus","Criniger","flaveolus","Pycnonotidae","Passeriformes"
"493","Criniger pallidus","Criniger","pallidus","Pycnonotidae","Passeriformes"
"494","Criniger barbatus","Criniger","barbatus","Pycnonotidae","Passeriformes"
"495","Criniger calurus","Criniger","calurus","Pycnonotidae","Passeriformes"
"496","Chlorocichla flavicollis","Chlorocichla","flavicollis","Pycnonotidae","Passeriformes"
"497","Chlorocichla flaviventris","Chlorocichla","flaviventris","Pycnonotidae","Passeriformes"
"498","Chlorocichla laetissima","Chlorocichla","laetissima","Pycnonotidae","Passeriformes"
"499","Bleda eximia","Bleda","eximia","Pycnonotidae","Passeriformes"
"500","Bleda syndactyla","Bleda","syndactyla","Pycnonotidae","Passeriformes"
"501","Baeopogon indicator","Baeopogon","indicator","Pycnonotidae","Passeriformes"
"502","Hypsipetes flavala","Hypsipetes","flavala","Pycnonotidae","Passeriformes"
"503","Hypsipetes propinquus","Hypsipetes","propinquus","Pycnonotidae","Passeriformes"
"504","Hypsipetes amaurotis","Hypsipetes","amaurotis","Pycnonotidae","Passeriformes"
"505","Hypsipetes madagascariensis","Hypsipetes","madagascariensis","Pycnonotidae","Passeriformes"
"506","Hypsipetes philippinus","Hypsipetes","philippinus","Pycnonotidae","Passeriformes"
"507","Spizixos semitorques","Spizixos","semitorques","Pycnonotidae","Passeriformes"
"508","Ailuroedus buccoides","Ailuroedus","buccoides","Ptilonorhynchidae","Passeriformes"
"509","Ailuroedus melanotis","Ailuroedus","melanotis","Ptilonorhynchidae","Passeriformes"
"510","Sericulus chrysocephalus","Sericulus","chrysocephalus","Ptilonorhynchidae","Passeriformes"
"511","Anthoscopus caroli","Anthoscopus","caroli","Remizidae","Passeriformes"
"512","Anthoscopus minutus","Anthoscopus","minutus","Remizidae","Passeriformes"
"513","Psilopogon pyrolophus","Psilopogon","pyrolophus","Capitonidae","Piciformes"
"514","Auriparus flaviceps","Auriparus","flaviceps","Remizidae","Passeriformes"
"515","Scytalopus latebricola","Scytalopus","latebricola","Rhinocryptidae","Passeriformes"
"516","Scytalopus magellanicus","Scytalopus","magellanicus","Rhinocryptidae","Passeriformes"
"517","Scytalopus unicolor","Scytalopus","unicolor","Rhinocryptidae","Passeriformes"
"518","Scelorchilus rubecula","Scelorchilus","rubecula","Rhinocryptidae","Passeriformes"
"519","Melanopareia torquata","Melanopareia","torquata","Rhinocryptidae","Passeriformes"
"520","Tichodroma muraria","Tichodroma","muraria","Sittidae","Passeriformes"
"521","Sitta carolinensis","Sitta","carolinensis","Sittidae","Passeriformes"
"522","Sitta pygmaea","Sitta","pygmaea","Sittidae","Passeriformes"
"523","Sitta pusilla","Sitta","pusilla","Sittidae","Passeriformes"
"524","Sitta europaea","Sitta","europaea","Sittidae","Passeriformes"
"525","Sitta frontalis","Sitta","frontalis","Sittidae","Passeriformes"
"526","Sitta nagaensis","Sitta","nagaensis","Sittidae","Passeriformes"
"527","Neositta chrysoptera","Neositta","chrysoptera","Sittidae","Passeriformes"
"528","Onychognathus fulgidus","Onychognathus","fulgidus","Sturnidae","Passeriformes"
"529","Onychognathus morio","Onychognathus","morio","Sturnidae","Passeriformes"
"530","Onychognathus nabouroup","Onychognathus","nabouroup","Sturnidae","Passeriformes"
"531","Onychognathus tenuirostris","Onychognathus","tenuirostris","Sturnidae","Passeriformes"
"532","Onychognathus walleri","Onychognathus","walleri","Sturnidae","Passeriformes"
"533","Poeoptera kenricki","Poeoptera","kenricki","Sturnidae","Passeriformes"
"534","Poeoptera lugubris","Poeoptera","lugubris","Sturnidae","Passeriformes"
"535","Sarcops calvus","Sarcops","calvus","Sturnidae","Passeriformes"
"536","Scissirostrum dubium","Scissirostrum","dubium","Sturnidae","Passeriformes"
"537","Spreo hildebrandti","Spreo","hildebrandti","Sturnidae","Passeriformes"
"538","Spreo pulcher","Spreo","pulcher","Sturnidae","Passeriformes"
"539","Sturnus burmannicus","Sturnus","burmannicus","Sturnidae","Passeriformes"
"540","Sturnus contra","Sturnus","contra","Sturnidae","Passeriformes"
"541","Sturnus malabaricus","Sturnus","malabaricus","Sturnidae","Passeriformes"
"542","Sturnus vulgaris","Sturnus","vulgaris","Sturnidae","Passeriformes"
"543","Cerorhinca monocerata","Cerorhinca","monocerata","Alcidae","Charadriiformes"
